499.858697,-4.389752106,11.04595513,1.099,6.32
497.386351,-49.72602532,11.58189145,1.029,4.61
486.2450989,115.8422533,12.09446655,0.901,5.55
261.6222052,426.0313463,7.149385647,0.687,5.98
327.4096229,-377.7849482,9.026170953,0.519,5.7
217.5596769,450.1448303,6.117083239,-0.023,5.57
437.0368786,242.568907,12.61317179,0.752,6.07
459.6804471,-196.2290799,13.71257747,0.386,6.19
476.9117756,-149.4120539,15.20514707,0.133,6.2
499.220924,-22.23408585,16.85569464,-0.146,6.43
461.6449446,-191.4107279,15.68050997,0.141,5.93
416.5439957,-276.1818626,14.65190983,1.119,5.67
499.2239709,-21.35381136,17.87293106,1.366,6.18
436.6341454,243.0947299,15.98672431,-0.038,2.07
493.7585859,-76.70085131,17.87283607,1.034,5.99
400.9796304,298.3024392,15.19838102,0.504,6.21
476.3206417,-151.0032242,17.79529554,1.664,6.11
451.0936419,214.9639533,17.46496678,0.976,6.24
89.20222929,491.9651983,3.633997564,0.203,6.01
256.1924204,429.2553796,10.25976635,0.38,2.28
474.5839489,156.26663,18.73007678,1.043,5.57
293.6504251,-404.5184018,11.58837445,0.738,6.32
441.1557764,-234.6427594,18.00989932,0.414,5.42
348.617248,-358.1352973,14.32212328,1.013,3.88
490.0988619,96.65326722,21.47676721,-0.064,5.54
346.5235657,360.1077295,15.61542684,0.405,5.01
270.8229867,420.1201055,12.40994914,-0.074,6.74
497.3994276,-45.73853899,22.40079097,0.973,5.84
67.58499969,-495.4023565,2.961928179,1.049,5.29
487.4634846,-108.9004072,22.80465903,1,5.84
144.1566507,-478.7212212,6.697192516,0.372,6.66
481.3078942,-133.3498774,23.67532885,0.487,4.89
441.7277113,-233.19129,22.32602416,1.346,5.41
408.3728524,-287.7390378,20.92509356,0.459,5.24
333.1198371,372.4609781,17.4354214,1.467,6.18
475.0243053,-153.9961438,25.24078258,1.478,5.29
395.0251032,305.7197146,22.15003215,-0.116,6.71
481.7412564,130.95644,27.852697,-0.19,2.83
444.7913822,226.8984007,26.03348091,0.68,6.24
376.4966933,328.2624018,22.22691021,0.331,5.71
448.5084971,-219.3608188,26.85068302,1.548,5.94
447.4959862,-221.4179172,26.85978949,1.49,6.14
417.5687418,273.8257079,25.60913015,0.009,6.22
468.2741632,172.703987,29.87709776,1.572,4.79
494.4111697,-67.68946381,31.23670488,1.601,5.13
43.5564894,-498.0927661,2.535466744,1.71,5.78
